Number,Type
1,"Set(Usd(Set(Prim(pgo:Player), Ent())), Act(), Prim(pgo:BallCollection), Usd(Set(Prim(pgo:Pokestop), Ent())))"
2,"Set(Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent())))), Prim(pgo:PokemonWeak), Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent())))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Wdf(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent())))), Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent()))))),Set(Usd(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))))))), Wgb(Set(Usd(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))))))), Ent())"
3,"Set(Usd(Set(Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent())))), Wdf(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent())))))), Usd(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))))), Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))), Act(), Prim(pgo:BallCollection), Usd(Set(Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent())))), Wdf(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent())))))), Usd(Set(Prim(pgo:Pokestop), Ent())))"
4,"Set(Wdf(Set(Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonStrong), Ent())))), Wdf(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonStrong), Ent()))))),Set(Usd(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonStrong), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))))), Wdf(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonStrong), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonNormal), Ent())))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonNormal), Ent())))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Prim(pgo:Player), Ent(), Wgb(Set(Usd(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonStrong), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))))))"
5,"Set(Wdf(Set(Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonStrong), Ent())))), Prim(pgo:PokemonStrong), Wdf(Set(Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent())))), Wdf(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent()))))),Set(Usd(Set(Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))))), Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonStrong), Ent())))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonStrong), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Ent(), Wgb(Set(Usd(Set(Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))))))"
6,"Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent())))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Usd(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))))), Wdf(Set(Wdf(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonNormal), Ent())))), Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonNormal), Ent()))))),Set(Usd(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))))), Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent())))), Prim(pgo:Player), Ent())"
7,"Set(Wdf(Set(Wdf(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonStrong), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent())))), Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent()))))),Set(Usd(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))))))), Prim(pgo:PokemonStrong), Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonStrong), Ent())))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonStrong), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonStrong), Ent())))), Wgb(Set(Usd(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))))))), Ent())"
8,"Set(Usd(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))), Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonNormal), Ent())))), Wdf(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonNormal), Ent())))))), Act(), Prim(pgo:BallCollection), Usd(Set(Prim(pgo:Pokestop), Ent())))"
9,"Set(Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent())))), Prim(pgo:PokemonWeak), Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent())))), Wdf(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent()))))),Set(Usd(Set(Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:PokemonWeak), Ent())))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Ent(), Wgb(Set(Usd(Set(Wdf(Set(Prim(pgo:PokemonWeak), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture))))))))"
10,"Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))), Prim(pgo:Pokestop), Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent())))), Wdf(Set(Wdf(Set(Wgb(Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:PokemonNormal), Ent()),Set(Act(), Prim(pgo:PokemonCapture))), Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:PokemonCapture)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent())))), Wgb(Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent()))))),Set(Usd(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))))))), Wdf(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection)))),Set(Usd(Set(Prim(pgo:Player), Ent())), Usd(Set(Prim(pgo:Pokestop), Ent())))), Wgb(Set(Usd(Set(Wdf(Set(Prim(pgo:Player), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wdf(Set(Prim(pgo:Pokestop), Ent()),Set(Act(), Prim(pgo:BallCollection))), Wgb(Set(Act(), Prim(pgo:BallCollection))))))), Ent())"
